ts,eth_price,funding_apr,in_position,cash,unrealized_pnl,total_funding_income_cumulative,account_value
2024-12-16T02:00:00+00:00,3969.99000000,10.95000000,True,2343.53394630,54.99239430,54.99239430,2552.89874630
2024-12-16T03:00:00+00:00,3940.77000000,10.95000000,True,2343.57335400,55.03180200,55.03180200,2552.93815400
2024-12-16T04:00:00+00:00,3954.07000000,10.95000000,True,2343.61289470,55.07134270,55.07134270,2552.97769470
2024-12-16T05:00:00+00:00,3965.00000000,10.95000000,True,2343.65254470,55.11099270,55.11099270,2553.01734470
2024-12-16T06:00:00+00:00,3953.53000000,10.95000000,True,2343.69208000,55.15052800,55.15052800,2553.05688000
2024-12-16T07:00:00+00:00,3972.86000000,10.95000000,True,2343.73180860,55.19025660,55.19025660,2553.09660860
2024-12-16T08:00:00+00:00,3952.00000000,10.95000000,True,2343.77132860,55.22977660,55.22977660,2553.13612860
2024-12-16T09:00:00+00:00,3943.76000000,10.95000000,True,2343.81076620,55.26921420,55.26921420,2553.17556620
2024-12-16T10:00:00+00:00,3949.30000000,10.95000000,True,2343.85025920,55.30870720,55.30870720,2553.21505920
2024-12-16T11:00:00+00:00,3909.97000000,10.95000000,True,2343.88935890,55.34780690,55.34780690,2553.25415890
2024-12-16T12:00:00+00:00,3895.00000000,10.95000000,True,2343.92830890,55.38675690,55.38675690,2553.29310890
2024-12-16T13:00:00+00:00,3897.77000000,10.95000000,True,2343.96728660,55.42573460,55.42573460,2553.33208660
2024-12-16T14:00:00+00:00,3927.07000000,10.95000000,True,2344.00655730,55.46500530,55.46500530,2553.37135730
2024-12-16T15:00:00+00:00,3943.44000000,10.95000000,True,2344.04599170,55.50443970,55.50443970,2553.41079170
2024-12-16T16:00:00+00:00,3963.27000000,10.95000000,True,2344.08562440,55.54407240,55.54407240,2553.45042440
2024-12-16T17:00:00+00:00,4034.00000000,10.95000000,True,2344.12596440,55.58441240,55.58441240,2553.49076440
2024-12-16T18:00:00+00:00,4088.50000000,10.95000000,True,2344.16684940,55.62529740,55.62529740,2553.53164940
2024-12-16T19:00:00+00:00,4058.06000000,10.95000000,True,2344.20743000,55.66587800,55.66587800,2553.57223000
2024-12-16T20:00:00+00:00,4040.55000000,10.95000000,True,2344.24783550,55.70628350,55.70628350,2553.61263550
2024-12-16T21:00:00+00:00,4048.18000000,10.95000000,True,2344.28831730,55.74676530,55.74676530,2553.65311730
2024-12-16T22:00:00+00:00,4030.22000000,10.95000000,True,2344.32861950,55.78706750,55.78706750,2553.69341950
2024-12-16T23:00:00+00:00,3987.53000000,10.95000000,True,2344.36849480,55.82694280,55.82694280,2553.73329480
2024-12-17T00:00:00+00:00,3960.34000000,10.95000000,True,2344.40809820,55.86654620,55.86654620,2553.77289820
2024-12-17T01:00:00+00:00,3987.78000000,10.95000000,True,2344.44797600,55.90642400,55.90642400,2553.81277600
2024-12-17T02:00:00+00:00,4010.54000000,10.95000000,True,2344.48808140,55.94652940,55.94652940,2553.85288140
2024-12-17T03:00:00+00:00,4035.11000000,10.95000000,True,2344.52843250,55.98688050,55.98688050,2553.89323250
2024-12-17T04:00:00+00:00,4005.07000000,10.95000000,True,2344.56848320,56.02693120,56.02693120,2553.93328320
2024-12-17T05:00:00+00:00,4025.01000000,10.95000000,True,2344.60873330,56.06718130,56.06718130,2553.97353330
2024-12-17T06:00:00+00:00,4010.28000000,10.95000000,True,2344.64883610,56.10728410,56.10728410,2554.01363610
2024-12-17T07:00:00+00:00,3993.39000000,10.95000000,True,2344.68877000,56.14721800,56.14721800,2554.05357000
2024-12-17T08:00:00+00:00,4012.59000000,10.95000000,True,2344.72889590,56.18734390,56.18734390,2554.09369590
2024-12-17T09:00:00+00:00,4026.19000000,10.95000000,True,2344.76915780,56.22760580,56.22760580,2554.13395780
2024-12-17T10:00:00+00:00,4009.84000000,10.95000000,True,2344.80925620,56.26770420,56.26770420,2554.17405620
2024-12-17T11:00:00+00:00,3998.27000000,10.95000000,True,2344.84923890,56.30768690,56.30768690,2554.21403890
2024-12-17T12:00:00+00:00,4000.56000000,10.95000000,True,2344.88924450,56.34769250,56.34769250,2554.25404450
2024-12-17T13:00:00+00:00,4007.18000000,10.95000000,True,2344.92931630,56.38776430,56.38776430,2554.29411630
2024-12-17T14:00:00+00:00,4018.97000000,10.95000000,True,2344.96950600,56.42795400,56.42795400,2554.33430600
2024-12-17T15:00:00+00:00,3939.11000000,10.95000000,True,2345.00889710,56.46734510,56.46734510,2554.37369710
2024-12-17T16:00:00+00:00,3951.70000000,10.95000000,True,2345.04841410,56.50686210,56.50686210,2554.41321410
2024-12-17T17:00:00+00:00,3976.14000000,10.95000000,True,2345.08817550,56.54662350,56.54662350,2554.45297550
2024-12-17T18:00:00+00:00,3931.01000000,10.95000000,True,2345.12748560,56.58593360,56.58593360,2554.49228560
2024-12-17T19:00:00+00:00,3945.50000000,10.95000000,True,2345.16694060,56.62538860,56.62538860,2554.53174060
2024-12-17T20:00:00+00:00,3936.10000000,10.95000000,True,2345.20630160,56.66474960,56.66474960,2554.57110160
2024-12-17T21:00:00+00:00,3933.01000000,10.95000000,True,2345.24563170,56.70407970,56.70407970,2554.61043170
2024-12-17T22:00:00+00:00,3884.11000000,10.95000000,True,2345.28447280,56.74292080,56.74292080,2554.64927280
2024-12-17T23:00:00+00:00,3893.52000000,10.95000000,True,2345.32340800,56.78185600,56.78185600,2554.68820800
2024-12-18T00:00:00+00:00,3885.73000000,10.95000000,True,2345.36226530,56.82071330,56.82071330,2554.72706530
2024-12-18T01:00:00+00:00,3848.15000000,10.95000000,True,2345.40074680,56.85919480,56.85919480,2554.76554680
2024-12-18T02:00:00+00:00,3871.77000000,10.95000000,True,2345.43946450,56.89791250,56.89791250,2554.80426450
2024-12-18T03:00:00+00:00,3850.87000000,10.95000000,True,2345.47797320,56.93642120,56.93642120,2554.84277320
2024-12-18T04:00:00+00:00,3840.96000000,10.95000000,True,2345.51638280,56.97483080,56.97483080,2554.88118280
2024-12-18T05:00:00+00:00,3835.92000000,10.95000000,True,2345.55474200,57.01319000,57.01319000,2554.91954200
2024-12-18T06:00:00+00:00,3828.51000000,10.95000000,True,2345.59302710,57.05147510,57.05147510,2554.95782710
2024-12-18T07:00:00+00:00,3847.67000000,10.95000000,True,2345.63150380,57.08995180,57.08995180,2554.99630380
2024-12-18T08:00:00+00:00,3841.61000000,10.95000000,True,2345.66991990,57.12836790,57.12836790,2555.03471990
2024-12-18T09:00:00+00:00,3870.34000000,10.95000000,True,2345.70862330,57.16707130,57.16707130,2555.07342330
2024-12-18T10:00:00+00:00,3873.00000000,10.95000000,True,2345.74735330,57.20580130,57.20580130,2555.11215330
2024-12-18T11:00:00+00:00,3881.71000000,10.95000000,True,2345.78617040,57.24461840,57.24461840,2555.15097040
2024-12-18T12:00:00+00:00,3863.42000000,10.95000000,True,2345.82480460,57.28325260,57.28325260,2555.18960460
2024-12-18T13:00:00+00:00,3853.25000000,10.95000000,True,2345.86333710,57.32178510,57.32178510,2555.22813710
2024-12-18T14:00:00+00:00,3836.67000000,10.95000000,True,2345.90170380,57.36015180,57.36015180,2555.26650380
2024-12-18T15:00:00+00:00,3868.83000000,10.95000000,True,2345.94039210,57.39884010,57.39884010,2555.30519210
2024-12-18T16:00:00+00:00,3871.54000000,10.95000000,True,2345.97910750,57.43755550,57.43755550,2555.34390750
2024-12-18T17:00:00+00:00,3879.84000000,10.95000000,True,2346.01790590,57.47635390,57.47635390,2555.38270590
2024-12-18T18:00:00+00:00,3898.40000000,10.95000000,True,2346.05688990,57.51533790,57.51533790,2555.42168990
2024-12-18T19:00:00+00:00,3770.44000000,10.95000000,True,2346.09459430,57.55304230,57.55304230,2555.45939430
2024-12-18T20:00:00+00:00,3693.24000000,10.95000000,True,2346.13152670,57.58997470,57.58997470,2555.49632670
2024-12-18T21:00:00+00:00,3689.61000000,10.95000000,True,2346.16842280,57.62687080,57.62687080,2555.53322280
2024-12-18T22:00:00+00:00,3678.51000000,10.95000000,True,2346.20520790,57.66365590,57.66365590,2555.57000790
2024-12-18T23:00:00+00:00,3624.84000000,10.95000000,True,2346.24145630,57.69990430,57.69990430,2555.60625630
2024-12-19T00:00:00+00:00,3650.56000000,10.95000000,True,2346.27796190,57.73640990,57.73640990,2555.64276190
2024-12-19T01:00:00+00:00,3607.08000000,10.95000000,True,2346.31403270,57.77248070,57.77248070,2555.67883270
2024-12-19T02:00:00+00:00,3642.67000000,10.95000000,True,2346.35045940,57.80890740,57.80890740,2555.71525940
2024-12-19T03:00:00+00:00,3668.98000000,10.95000000,True,2346.38714920,57.84559720,57.84559720,2555.75194920
2024-12-19T04:00:00+00:00,3651.52000000,10.95000000,True,2346.42366440,57.88211240,57.88211240,2555.78846440
2024-12-19T05:00:00+00:00,3670.01000000,10.95000000,True,2346.46036450,57.91881250,57.91881250,2555.82516450
2024-12-19T06:00:00+00:00,3681.26000000,10.95000000,True,2346.49717710,57.95562510,57.95562510,2555.86197710
2024-12-19T07:00:00+00:00,3691.72000000,10.95000000,True,2346.53409430,57.99254230,57.99254230,2555.89889430
2024-12-19T08:00:00+00:00,3666.99000000,10.95000000,True,2346.57076420,58.02921220,58.02921220,2555.93556420
2024-12-19T09:00:00+00:00,3677.74000000,10.95000000,True,2346.60754160,58.06598960,58.06598960,2555.97234160
2024-12-19T10:00:00+00:00,3705.78000000,10.95000000,True,2346.64459940,58.10304740,58.10304740,2556.00939940
2024-12-19T11:00:00+00:00,3704.56000000,10.95000000,True,2346.68164500,58.14009300,58.14009300,2556.04644500
2024-12-19T12:00:00+00:00,3675.13000000,10.95000000,True,2346.71839630,58.17684430,58.17684430,2556.08319630
2024-12-19T13:00:00+00:00,3676.70000000,10.95000000,True,2346.75516330,58.21361130,58.21361130,2556.11996330
2024-12-19T14:00:00+00:00,3636.78000000,10.95000000,True,2346.79153110,58.24997910,58.24997910,2556.15633110
2024-12-19T15:00:00+00:00,3613.07000000,10.95000000,True,2346.82766180,58.28610980,58.28610980,2556.19246180
2024-12-19T16:00:00+00:00,3616.80000000,10.95000000,True,2346.86382980,58.32227780,58.32227780,2556.22862980
2024-12-19T17:00:00+00:00,3476.82000000,10.95000000,True,2346.89859800,58.35704600,58.35704600,2556.26339800
2024-12-19T18:00:00+00:00,3516.01000000,10.95000000,True,2346.93375810,58.39220610,58.39220610,2556.29855810
2024-12-19T19:00:00+00:00,3436.98000000,10.95000000,True,2346.96812790,58.42657590,58.42657590,2556.33292790
2024-12-19T20:00:00+00:00,3380.98000000,10.95000000,True,2347.00193770,58.46038570,58.46038570,2556.36673770
2024-12-19T21:00:00+00:00,3414.37000000,10.95000000,True,2347.03608140,58.49452940,58.49452940,2556.40088140
2024-12-19T22:00:00+00:00,3452.29000000,10.95000000,True,2347.07060430,58.52905230,58.52905230,2556.43540430
2024-12-19T23:00:00+00:00,3414.63000000,10.95000000,True,2347.10475060,58.56319860,58.56319860,2556.46955060
2024-12-20T00:00:00+00:00,3407.96000000,10.95000000,True,2347.13883020,58.59727820,58.59727820,2556.50363020
2024-12-20T01:00:00+00:00,3372.19000000,10.95000000,True,2347.17255210,58.63100010,58.63100010,2556.53735210
2024-12-20T02:00:00+00:00,3450.31000000,10.95000000,True,2347.20705520,58.66550320,58.66550320,2556.57185520
2024-12-20T03:00:00+00:00,3410.23000000,10.95000000,True,2347.24115750,58.69960550,58.69960550,2556.60595750
2024-12-20T04:00:00+00:00,3393.01000000,10.95000000,True,2347.27508760,58.73353560,58.73353560,2556.63988760
2024-12-20T05:00:00+00:00,3354.10000000,10.95000000,True,2347.30862860,58.76707660,58.76707660,2556.67342860
2024-12-20T06:00:00+00:00,3353.21000000,10.95000000,True,2347.34216070,58.80060870,58.80060870,2556.70696070
2024-12-20T07:00:00+00:00,3385.49000000,10.95000000,True,2347.37601560,58.83446360,58.83446360,2556.74081560
2024-12-20T08:00:00+00:00,3284.02000000,10.95000000,True,2347.40885580,58.86730380,58.86730380,2556.77365580
2024-12-20T09:00:00+00:00,3261.45000000,10.95000000,True,2347.44147030,58.89991830,58.89991830,2556.80627030
2024-12-20T10:00:00+00:00,3181.99000000,10.95000000,True,2347.47329020,58.93173820,58.93173820,2556.83809020
2024-12-20T11:00:00+00:00,3100.00000000,10.95000000,True,2347.50429020,58.96273820,58.96273820,2556.86909020
2024-12-20T12:00:00+00:00,3231.85000000,10.95000000,True,2347.53660870,58.99505670,58.99505670,2556.90140870
2024-12-20T13:00:00+00:00,3293.23000000,10.95000000,True,2347.56954100,59.02798900,59.02798900,2556.93434100
2024-12-20T14:00:00+00:00,3325.47000000,10.95000000,True,2347.60279570,59.06124370,59.06124370,2556.96759570
2024-12-20T15:00:00+00:00,3372.11000000,10.95000000,True,2347.63651680,59.09496480,59.09496480,2557.00131680
2024-12-20T16:00:00+00:00,3382.66000000,10.95000000,True,2347.67034340,59.12879140,59.12879140,2557.03514340
2024-12-20T17:00:00+00:00,3436.35000000,10.95000000,True,2347.70470690,59.16315490,59.16315490,2557.06950690
2024-12-20T18:00:00+00:00,3428.21000000,10.95000000,True,2347.73898900,59.19743700,59.19743700,2557.10378900
2024-12-20T19:00:00+00:00,3478.15000000,10.95000000,True,2347.77377050,59.23221850,59.23221850,2557.13857050
